,song_id,song_name,img,duration_ms,song_explicit,url,popularity,date_time_played,album_id,artist_id,scrape1,scraper2
0,1ByE7lUw6wWMTbCb3woHdK,Know,https://i.scdn.co/image/ab67616d0000b2732dc63e977bd5101072adcef6,176693,True,https://open.spotify.com/track/1ByE7lUw6wWMTbCb3woHdK,56,2021-08-07 17:57:43.867000+00:00,3sSfjX4fhZonjyZ10x0l0f,System Of A Down,2001,0
1,1VNWaY3uNfoeWqb5U8x2QX,Lonely Day,https://i.scdn.co/image/ab67616d0000b273f5e7b2e5adaa87430a3eccff,167906,False,https://open.spotify.com/track/1VNWaY3uNfoeWqb5U8x2QX,71,2021-08-07 17:49:32.919000+00:00,3QxX3NbWyLlLG6lP1xveL3,System Of A Down,2006- 04- 07,0
2,2DlHlPMa4M17kufBvI2lEN,Chop Suey!,https://i.scdn.co/image/ab67616d0000b27330d45198d0c9e8841f9a9578,210240,False,https://open.spotify.com/track/2DlHlPMa4M17kufBvI2lEN,79,2021-08-07 17:47:20.638000+00:00,6jWde94ln40epKIQCd8XUh,System Of A Down,2001- 10- 22,0
3,31RTFPrB7wmYBhlkM2ILXG,Sugar,https://i.scdn.co/image/ab67616d0000b2732dc63e977bd5101072adcef6,153800,True,https://open.spotify.com/track/31RTFPrB7wmYBhlkM2ILXG,69,2021-08-07 17:41:26.344000+00:00,3sSfjX4fhZonjyZ10x0l0f,System Of A Down,1999,0
4,47EqCQZG5v4o0WFMufGf5S,Cigaro,https://i.scdn.co/image/ab67616d0000b273c65f8d04502eeddbdd61fa71,131706,True,https://open.spotify.com/track/47EqCQZG5v4o0WFMufGf5S,62,2021-08-07 17:39:01.548000+00:00,0cn6MHyx4YuZauaB7Pb66o,System Of A Down,2005- 01,0
5,4e9eGQYsOiBcftrWXwsVco,Aerials,https://i.scdn.co/image/ab67616d0000b27330d45198d0c9e8841f9a9578,235053,False,https://open.spotify.com/track/4e9eGQYsOiBcftrWXwsVco,73,2021-08-07 17:36:49.513000+00:00,6jWde94ln40epKIQCd8XUh,System Of A Down,2002- 07- 15,0
6,51YZAJhOwIC5Gg3jMbAmhZ,For Whom The Bell Tolls (Remastered),https://i.scdn.co/image/ab67616d0000b273533fd0b248052d04e6b732c0,309973,False,https://open.spotify.com/track/51YZAJhOwIC5Gg3jMbAmhZ,66,2021-08-07 17:25:38.276000+00:00,2omIeSJEGQeKHPOpiXgfkr,Metallica,2019- 07- 22,0
7,0vhOJ8a3M2LWnBNrDXJKDl,The Memory Remains,https://i.scdn.co/image/ab67616d0000b273a49eff6d64cafc2551553380,279240,False,https://open.spotify.com/track/0vhOJ8a3M2LWnBNrDXJKDl,52,2021-08-07 17:10:58.306000+00:00,7KDqRmr937ylvGilPGWxfD,Metallica,1997,0
8,0IGXkVRn0uCsgn4FvIfpgB,The Unforgiven II,https://i.scdn.co/image/ab67616d0000b273a49eff6d64cafc2551553380,396440,False,https://open.spotify.com/track/0IGXkVRn0uCsgn4FvIfpgB,56,2021-08-07 17:02:48.688000+00:00,7KDqRmr937ylvGilPGWxfD,Metallica,1998- 04- 22,0
9,4NGS3j6JmOx6VUaXt6VQbj,Ackrite,https://i.scdn.co/image/ab67616d0000b2739b19c107109de740bad72df5,219933,True,https://open.spotify.com/track/4NGS3j6JmOx6VUaXt6VQbj,50,2021-08-06 21:55:56.439000+00:00,7q2B4M5EiBkqrlsNW8lB7N,Dr. Dre,2002,1965- 02- 18
10,1jlnBQGP2DtSEhMgQaz7a7,Haute (feat. J Balvin & Chris Brown),https://i.scdn.co/image/ab67616d0000b273d38a9c6e4fcfeb128f111f6b,160876,True,https://open.spotify.com/track/1jlnBQGP2DtSEhMgQaz7a7,63,2021-08-06 21:51:05.569000+00:00,6hHIX3lfGKnZ2ji41YZMVV,Tyga,2019- 06- 05,1989- 11- 19
11,5NmL2zxnlt9GiTB2TQbvFM,8 Mile,https://i.scdn.co/image/ab67616d0000b27352ab2c1657a3e548ff021411,359400,True,https://open.spotify.com/track/5NmL2zxnlt9GiTB2TQbvFM,52,2021-08-06 21:45:35.317000+00:00,353HFOqGHySp027oyr3aGs,Various Artists,2017- 12- 12,0
12,0z36JaXXoFXuPuQucKEsdx,ZTFO,https://i.scdn.co/image/ab67616d0000b273b1b3fdd23be4c158d4d2c32f,136461,True,https://open.spotify.com/track/0z36JaXXoFXuPuQucKEsdx,62,2021-08-06 21:39:19.354000+00:00,6slkiHeFK3wW2D1mao0TX3,Big Sean,2009- 07- 21,1988- 03- 25
13,6MbxtmdQYE6eljl9sntLZt,"The Gangsta, The Killa And The Dope Dealer",https://i.scdn.co/image/ab67616d0000b273432c0ff56f3eb780e009042d,250226,True,https://open.spotify.com/track/6MbxtmdQYE6eljl9sntLZt,55,2021-08-06 21:37:02.663000+00:00,5CdIIrp4pEVIVEJi5hAk1f,Westside Connection,2007- 12- 04,0
14,3hwwIr2pcL2IWBpEUj5Hya,Window Shopper,https://i.scdn.co/image/ab67616d0000b27369da799626c944aeef9b5e37,190306,True,https://open.spotify.com/track/3hwwIr2pcL2IWBpEUj5Hya,49,2021-08-06 21:31:13.351000+00:00,5D2CHiTlb8MXWJsZWXjkZf,Various Artists,2005- 11- 21,0
15,2sYUGgzQfHQ6lOWzbrny8Z,Red Nation,https://i.scdn.co/image/ab67616d0000b2739694b30f3bf3eb96a95e18da,229480,True,https://open.spotify.com/track/2sYUGgzQfHQ6lOWzbrny8Z,62,2021-08-06 21:25:42.500000+00:00,6PvZnd9Q2ymDo3gpoM5I37,The Game,2011- 08- 23,0
16,0exGl5Y290wAsqrnKIagWp,Mark - Emr3ygul Remix,https://i.scdn.co/image/ab67616d0000b273ba7440736fd0877d2cdb0fe1,196668,False,https://open.spotify.com/track/0exGl5Y290wAsqrnKIagWp,57,2021-08-06 19:01:38.785000+00:00,1mLyH0TQwhHjlMfCJRYcam,Shahmen,2014- 09- 28,0
17,7lQWRAjyhTpCWFC0jmclT4,Gangsta's Paradise,https://i.scdn.co/image/ab67616d0000b2737632fe25cd368dc205927f0c,240693,False,https://open.spotify.com/track/7lQWRAjyhTpCWFC0jmclT4,83,2021-08-06 18:58:22.586000+00:00,0fYctMs4EvoEqzDh8Kmg5g,Coolio,1995,1963- 08- 01
18,2sYUGgzQfHQ6lOWzbrny8Z,Red Nation,https://i.scdn.co/image/ab67616d0000b2739694b30f3bf3eb96a95e18da,229480,True,https://open.spotify.com/track/2sYUGgzQfHQ6lOWzbrny8Z,62,2021-08-06 18:50:27.009000+00:00,6PvZnd9Q2ymDo3gpoM5I37,The Game,2011- 08- 23,0
19,404RYQiYJ2uq2ElfZ5CToK,Shake That (Remix),https://i.scdn.co/image/ab67616d0000b273c8a1af55ccd0cf6fe7846042,179560,True,https://open.spotify.com/track/404RYQiYJ2uq2ElfZ5CToK,46,2021-08-06 18:46:14.359000+00:00,6NeJONAsrs5xp24Jnkr4K0,Eminem,2005- 12- 07,1972- 10- 17
20,5yY9lUy8nbvjM1Uyo1Uqoc,Life Is Good (feat. Drake),https://i.scdn.co/image/ab67616d0000b2738a01c7b77a34378a62f46402,237735,True,https://open.spotify.com/track/5yY9lUy8nbvjM1Uyo1Uqoc,81,2021-08-06 18:42:29.490000+00:00,5uCEoLCj3ZZZ1EtzQdQWVl,Future,2020- 01- 10,0
21,0tdCy39PgWN8LFWu34ORn3,Rap Saved Me,https://i.scdn.co/image/ab67616d0000b2730f206fe737d46f2f2d826d83,257600,True,https://open.spotify.com/track/0tdCy39PgWN8LFWu34ORn3,64,2021-08-06 17:30:47.442000+00:00,0MV1yCXcNNQBfwApqAVkH0,21 Savage,1989- 06,1992- 10- 22
22,3hwwIr2pcL2IWBpEUj5Hya,Window Shopper,https://i.scdn.co/image/ab67616d0000b27369da799626c944aeef9b5e37,190306,True,https://open.spotify.com/track/3hwwIr2pcL2IWBpEUj5Hya,49,2021-08-06 17:26:29.348000+00:00,5D2CHiTlb8MXWJsZWXjkZf,Various Artists,2005- 11- 18,0
23,1cA2LExLTdhHLL0FmXoc57,When It Rains It Pours,https://i.scdn.co/image/ab67616d0000b27369da799626c944aeef9b5e37,242226,True,https://open.spotify.com/track/1cA2LExLTdhHLL0FmXoc57,64,2021-08-06 17:23:18.546000+00:00,5D2CHiTlb8MXWJsZWXjkZf,Various Artists,2017- 06- 19,0
24,2GjdI973iM4W4Pl7Tckcke,Still Strugglin',https://i.scdn.co/image/ab67616d0000b273f7b4214520a98a5f3d6bb1cd,137253,True,https://open.spotify.com/track/2GjdI973iM4W4Pl7Tckcke,50,2021-08-06 17:19:15.904000+00:00,4uUxjHHHhoQJIzv4kpwSBC,Various Artists,2018- 05- 01,0
