,song_id,song_name,date_time_played,lyrics
0,1ByE7lUw6wWMTbCb3woHdK,Know,2021-08-07T17:57:43.867Z,"Intro: Serj Tankian
Cursed Earth!
Cursed Earth!
Cursed Earth!
Cursed Earth!

Verse 1: Serj Tankian
I will never feed off the evergreen luster of your heart
All because we all live in the valley of the walls
When they speak we can peek from the windows of their mouths
To see the land the women chant as they fly up to the sun

Chorus: Serj Tankian
You never think you know why
Know, you never think you know why
Know, ever think you know why
Know, know, know

Verse 2: Serj Tankian
Books all say different things while people flap their yellow wings
Tryna soar, being a whore, life and almost everything
Sheep that ran off from the herd, maybe dead, but now's a bird
Able to fly, able to die, able to fuck your mother's earth

Chorus: Serj Tankian
You never think you know why
Know, you never think you know why
Know, ever think you know why
Know

Bridge: Serj Tankian
On the other side, the other side, other side
Do you ever try to fly? Do you ever try to fly?
Have you ever wanted to die? Have you ever wanted to die?
Don't ever try to fly, don't ever try to fly
Don't ever try to fly unless you leave your body on the other side
Never try to die, did you ever try to die?

Chorus: Serj Tankian
Know, you never think you know why
Know, you never think you know why
Know, you never think you know why
Know, ever think you know why
Kno"
1,1VNWaY3uNfoeWqb5U8x2QX,Lonely Day,2021-08-07T17:49:32.919Z,"Verse 1: Daron Malakian
Such a lonely day and it's mine
The most loneliest day of my life
Such a lonely day, should be banned
It's a day that I can't stand

Chorus: Daron Malakian &amp; Serj Tankian
The most loneliest day of my life
The most loneliest day of my life

Verse 2: Daron Malakian
Such a lonely day, shouldn't exist
It's a day that I'll never miss
Such a lonely day and it's mine
The most loneliest day of my life

Bridge: Daron Malakian &amp; Serj Tankian
And if you go, I wanna go with you
And if you die, I wanna die with you
Take your hand and walk away

Guitar Solo

Chorus: Daron Malakian &amp; Serj Tankian
The most loneliest day of my life
The most loneliest day of my life
The most loneliest day of my life

Outro: Daron Malakian
Such a lonely day and it's mine
It's a day that I'm glad I survive"
2,2DlHlPMa4M17kufBvI2lEN,Chop Suey!,2021-08-07T17:47:20.638Z,"Intro: Serj Tankian
We're rolling ""Suicide""

Verse: Serj Tankian
Wake up (Wake up)
Grab a brush and put a little makeup
Hide your scars to fade away the shakeup (Hide the scars to fade away the shakeup)
Why'd you leave the keys upon the table?
Here you go, create another fable, you wanted to
Grab a brush and put a little makeup, you wanted to
Hide the scars to fade away the shakeup, you wanted to
Why'd you leave the keys upon the table? You wanted to

Chorus: Serj Tankian with Daron Malakian
I don't think you trust
In my self-righteous suicide
I cry when angels deserve to die

Verse: Serj Tankian
Ah! Wake up (Wake up)
Grab a brush and put a little makeup (A little bit)
Hide the scars to fade away the (Hide the scars to fade away the shakeup)
Why'd you leave the keys upon the table?
Here you go, create another fable, you wanted to
Grab a brush and put a little makeup, you wanted to
Hide the scars to fade away the shakeup, you wanted to
Why'd you leave the keys upon the table? You wanted to

Chorus: Serj Tankian with Daron Malakian
I don't think you trust
In my self-righteous suicide
I cry when angels deserve to die
In my self-righteous suicide
I cry when angels deserve to die

Bridge: Serj Tankian & Daron Malakian
Father, father, father, father
Father, father, father, father
Father, into your hands I commend my spirit
Father, into your hands
Why have you forsaken me?
In your eyes, forsaken me?
In your thoughts, forsaken me?
In your heart, forsaken me? Oh

Outro: Serj Tankian & Daron Malakian
Trust in my self-righteous suicide
I cry when angels deserve to die
In my self-righteous suicide
I cry when angels deserve to di"
3,31RTFPrB7wmYBhlkM2ILXG,Sugar,2021-08-07T17:41:26.344Z,"Chorus: Serj Tankian &amp; Daron Malakian
The Kombucha mushroom people, sitting around all day
Who can believe you? Who can believe you?
Let your mother pray
Sugar, sugar

Verse 1: Serj Tankian &amp; Daron Malakian
I'm not there all the time, you know
Some people, some people, some people call it insane
Yeah, they call it insane (Sugar)
I play Russian Roulette every day, a man's sport
With the bullet called life
Yeah, mama called life (Sugar)
Yeah and every time I try to go where I really want to be
It's already where I am
'Cause I'm already there

Chorus: Serj Tankian &amp; Daron Malakian
The Kombucha mushroom people, sitting around all day
Who could believe you? Who could believe you?
Let your mother pray
Sugar

Verse 2: Serj Tankian &amp; Daron Malakian
I got a gun the other day from Sako
It's cute, it's small, fits right in my pocket
Yeah, right in my pocket (Sugar)
My girl, you know, she lashes out at me sometimes
And I just fucking kick her
And then, ooh baby, she's okay (Sugar)
People are always chasing me down
Tryna push my face to the ground
Where all they do is suck out my motherfucking brains
My brains (Sugar)

Chorus: Serj Tankian
The Kombucha mushroom people, sitting around all day
Who can believe you? Who can believe you?
Let your mother pray

Outro: Serj Tankian
I sit in my desolate room
No lights, no music
Just anger, I killed everyone
I'm away forever, but I'm feeling better
How do I feel? What do I say?
Fuck you, it all goes away
How do I feel? What do I say?
Fuck you, it all goes away
How do I feel? What do I say?
In the end, it all goes away
How do I feel? What do I say?
In the end, it all goes away
How do I feel? What do I say?
In the end, it all goes away
How do I feel? What do I say?
In the end, it all goes away
How do I feel? What do I say?
In the end, it all goes away
How do I feel? What do I say?
In the end, it all goes away
In the end, it all goes away
In the end, it all goes away
In the end, it all goes away
In the end, it all goes awa"
4,47EqCQZG5v4o0WFMufGf5S,Cigaro,2021-08-07T17:39:01.548Z,"Intro: Serj Tankian
Whoah

Verse 1: Serj Tankian &amp; Daron Malakian
My cock is much bigger than yours
My cock can walk right through the door
With a feeling so pure
It's got you screaming back for

Chorus: Serj Tankian
Cool, in denial
We're the cruel regulators smoking cigaro, cigaro, cigar
Cool, in denial
We're the cruel regulators smoking cigaro, cigaro, cigar

Verse 2: Serj Tankian &amp; Daron Malakian
My shit stinks much better than yours
My shit stinks right down to the floor
With a feeling so pure
It's got you coming back for

Chorus: Serj Tankian
Cool, in denial
We're the cruel regulators smoking cigaro, cigaro, cigar
Cool, in denial
We're the cruel regulators smoking cigaro, cigaro, cigar
Cool, in denial
We're the cruel regulators smoking cigaro, cigaro, cigar
Cool, in denial
We're the cruel regulators smoking cigaro, cigaro, cigar

Bridge: Daron Malakian
Can't you see that I love my cock?
Can't you see that you love my cock?
Can't you see that we love my cock?

Pre-Chorus: Serj Tankian
We're the regulators that de-regulate
We're the animators that de-animate
We're the propagators of all genocide
Burning through the world's resources, then we turn and hide

Chorus: Serj Tankian
We're cool, in denial
We're the cruel regulators smoking cigaro, cigaro, cigar
Cool, in denial
We're the cruel regulators smoking cigaro, cigaro, cigar

Pre-Chorus: Serj Tankian
We're the regulators that de-regulate
We're the animators that de-animate

Chorus: Serj Tankian
We're cool, in denial
We're the cruel regulators smoking cigaro, cigaro, cigar
Cool, in denial
We're the cruel regulators smoking cigaro, cigaro, cigar

Outro: Serj Tankian &amp; Daron Malakian
My cock is much bigger than yours
My cock can walk right through the door
With a feeling so pure
It's got you screaming back for mor"
5,4e9eGQYsOiBcftrWXwsVco,Aerials,2021-08-07T17:36:49.513Z,"Verse 1: Serj Tankian
Life is a waterfall
We're one in the river and one again after the fall
Swimming through the void, we hear the word
We lose ourselves, but we find it all
'Cause we are the ones that wanna play
Always wanna go, but you never wanna stay
And we are the ones that wanna choose
Always wanna play, but you never wanna lose

Chorus: Serj Tankian
Aerials in the sky
When you lose small mind, you free your life

Verse 2: Serj Tankian
Life is a waterfall
We drink from the river then we turn around and put up our walls
Swimming through the void, we hear the word
We lose ourselves, but we find it all
'Cause we are the ones that wanna play
Always wanna go, but you never wanna stay
And we are the ones that wanna choose
Always wanna play, but you never wanna lose, oh

Chorus: Serj Tankian
Aerials in the sky
When you lose small mind, you free your life
Aerials, so up high
When you free your eyes, eternal prize

Outro: Serj Tankian with Daron Malakian
Aerials in the sky
When you lose small mind, you free your life
Aerials, so up high
When you free your eyes, eternal prize
Ah, ah, ah, ah, ah, ah
Ah, ah, ah-ah, ah-ah, ah-ah-ah
Ah, ah, ah, ah, ah, ah
Ah, ah, ah-ah, ah-ah, ah-ah, o"
6,51YZAJhOwIC5Gg3jMbAmhZ,For Whom The Bell Tolls (Remastered),2021-08-07T17:25:38.276Z,"Couldn't get lyrics for For Whom The Bell Tolls (Remastered) by Metallica.
"
7,0vhOJ8a3M2LWnBNrDXJKDl,The Memory Remains,2021-08-07T17:10:58.306Z,"Chorus
Fortune, fame
Mirror vain
Gone insane
But the memory remains

Verse 1
Heavy rings on fingers wave
Another star denies the grave
See the nowhere crowd, cry the nowhere tears of honor

Like twisted vines that grow
Hide and swallow mansions whole
Dim the light of an already faded primadonna

Chorus
Fortune, fame
Mirror vain
Gone insane
Fortune, fame
Mirror vain
Gone insane
But the memory remains

Verse 2
Heavy rings hold cigarettes
Up to lips that time forgets
While the Hollywood sun sets behind your back

And can't the band play on?
Just listen, they play my song
Ash to ash
Dust to dust
Fade to black

Chorus (Marianne Faithfull)
Fortune, fame
Mirror vain
Gone insane
Fortune, fame
Mirror vain
Gone insane
Dance little tin goddess

Bridge
Drift away
Fade away
Little tin goddess
Ash to ash
Dust to dust
Fade to black

Chorus
Fortune, fame
Mirror vain
Gone insane
Fortune, fame
Mirror vain
Gone insane
But the memory remains

Bridge
Ash to ash (ash to ash)
Dust to dust (dust to dust)
Fade to black (fade to black)
The memory remains

Outro
Yeah
To this faded primadonna, yeah, yeah, yeah, yeah

Solo (Marianne Faithfull)
Dance little tin goddess dance
Da da da da da da da, da da da da da
(Say yes... or at least say hello (la da da....)
Say yes... or at least say hello (la da da....))
(Da da da)
(Da da da da)
(Da da da da)
(Da da)
(Na da da da da)
(La da da da)
(Da da da)
(Da da da da)
(Da da da da)
(Da da)
(Na da da da da)
(La da da da)
(Da da da)
(Da da da da)
(Da da da da)
(Da da)
(Da da da da)
(Da da da da)
(Da da da)
(Da da da da)
(Da da da da (Say yes))
(Da da da (Or at least say hello))
(Na da da da da)
(Da da da da (Say yes))
(Da da da (Or at least say hello))
(Da da da da da)
(Da da da da)
(Da da da"
8,0IGXkVRn0uCsgn4FvIfpgB,The Unforgiven II,2021-08-07T17:02:48.688Z,"Verse 1
Lay beside me, tell me what they've done
Speak the words I want to hear, to make my demons run
The door is locked now, but it's open if you're true
If you can understand the me, then I can understand the you

Lay beside me, under wicked sky
Through black of day, dark of night, we share this paralyze
The door cracks open, but there's no sun shining through
Black heart scarring darker still, but there's no sun shining through
No, there's no sun shining through
No, there's no sun shining...

Chorus
What I've felt, what I've known
Turn the pages, turn the stone
Behind the door, should I open it for you?
Yeah!
What I've felt, what I've known
Sick and tired, I stand alone
Could you be there, because I'm the one who waits for you
Or are you unforgiven too?

Verse 2
Come lay beside me, this won't hurt I swear
She loves me not, she loves me still, but she'll never love again
She lay beside me, But she'll be there when I'm gone
Black heart scarring darker still, yes she'll be there when I'm gone
Yes, she'll be there when I'm gone
Dead sure she'll be there...

Chorus
What I've felt, what I've known
Turn the pages, turn the stone
Behind the door, should I open it for you?
Yeah!
What I've felt, what I've known
Sick and tired, I stand alone
Could you be there, because I'm the one who waits for you
Or are you unforgiven too?

Guitar Solo

Verse 3
Lay beside me, tell me what I've done
The door is closed, so are your eyes
But now I see the sun, now I see the sun
Yes, now I see it...

Chorus
What I've felt, what I've known
Turn the pages, turn the stone
Behind the door, should I open it for you?
Yeah!
What I've felt, what I've known
So sick and tired, I stand alone
Could you be there
Because I'm the one who waits, the one who waits for you, oh

Chorus
What I've felt, what I've known
Turn the pages, turn the stone
Behind the door, should I open it for you?
(So I dub thee Unforgiven)

Bridge
What I've felt...
Oh, what I've known...

I take this key (never free...)
And I bury it (never me...) in you
Because you're unforgiven too

Outro
Never free
Never me
Because you're unforgiven too
Oh, oh, o"
9,4NGS3j6JmOx6VUaXt6VQbj,Ackrite,2021-08-06T21:55:56.439Z,"Intro: Hittman
It's fuckin ackrite
Question is - can I get some? Know what I'm saying?
Ack-rite, bitch
When I see you in the spot, you just act right, you know what I'm saying?
When I yank you by the fuckin' arm
Don't be looking at a nigga crazy
Just give up the digits and be the fuck out, you know what I'm saying?
Let me break it down for y'all

Verse 1: Hittman
It was just one of those days
When I wanted to catch sunrays
It`s fun to gitt blunted on a Sunday afternoon
Nigga Bathed & got groomed, grabbed the gat for misbehavors
And the chocolate flavored boom, lost in hip-hop tunes
Zoom-zoom like the Commodores
Wonder will we have drama or, end up clowning whores
Round up four good-to-go girls
Like them Barbary Coast girls, riding shotgun, baby
I be postin all-world in the ride
Sipping 151 done gave me too much pride to back down
Soon as we get to The Beach I'mma put my fuckin mack down
I'm playin lead, not the background
It's time to put Bronson on the map now
Walk with my hand on my Johnson, crack a smile
Cuties peep my style, if I don't get some ackrite
I'mma have to ack-wild

Hook: Hittman
Blunt in my left hand, drink in my right
Strap by my waistline, cause niggas don't fight
Sucker free for life, so you better think twice
(Aight? And a give a nig' some ackrite)
I'm the type of nigga playa-haters don't like
Snatchin' up your honey for some late night hype
And snobby-ass bitches get slapped out of spite
(Aight? So give a nig' some ackrite, right)

Hittman
Uhhhhh.. drink kicking in, I'm stimulated
For those that don't know big words: I'm FUCKIN FADED
Eighty-three degrees, ease to a shaded spot
Our first spot was cool till some gangsters made it hot
Now we plot and pose
Plus we watchin hoes, with lots of flesh exposed
Getting swarmed by those type of niggas
With no game but brown-nose
So I impose only like pros can
""Yo, is this your man?"" ""No.""
Grab the bitch's hand, ""I'm Hittman.""
Bling! Gold chain gleam
""You're very eligible for my summer league team.""
Maybe too extreme cause the sister got steamed
Then Miss Thing tried to scream on my brethren
I got mad, spit phlegm on the name
Stefan, tattooed on her arm
Ho you ain't the bomb, must be a dyke
Gitcho' lips swoll, or give a nig' some ackrite

Hook: Hittman
Blunt in my left hand, drink in my right
Strap by my waistline, cause niggas don't fight
Sucker free for life, so you better think twice
(And a give a nig' some ackrite)
I'm the type of nigga playa-haters don't like
Snatchin' up your honey for some late night hype
And snobby-ass bitches get slapped out of spite
(So give a nig' some ackrite, right)

Hittman
Fronting on the ack-rite, causing me to act up
Good Samaritans save that ho from getting slapped up
My homies crack up at the scene I made
Yo my actions ain't serene when a nigga's on fade
If it wasn't for the one-time brigade
I woulda sprayed at the hooker tramp
As cops parade I'm afraid it's time to break camp
Make tracks, where else can we go to take hoes
From fake macks? {*CAR HORN*} Aiyyo, chase them girls
In that black Maxima, the passenger, almost fractured her
Neckbone, looking back at us
Plus, they on the dick cause the Caddy's plush
They blush, I bumrush the huss, with the largest crush
Try to swing an ep tonight so I don't have to keep in touch
Keep it on hush without the tippin`
Macking interrupted by some niggas set-tripping
Clip in the strap, I showed these niggas how to act

Hook: Hittman"
